LG 01,LG 07,LG 03,small_ind_load_1,small_ind_load_2,load_bus3,load_bus4,load_bus5,load_bus9,load_bus10,load_bus11,load_bus6,SFH9,eload_med_ind,eload_small_ind,eload_comm
22.92761205,35.1463136,4.070820915,,,,,,,,,,0.109568297,0.10128694,0.884802221,0.128404669
22.64686578,36.43358724,4.164403005,,,,,,,,,,0.075666179,0.097664442,0.872310895,0.127107652
23.54629365,34.79486086,3.946044795,,,,,,,,,,0.039935593,0.099189704,0.912329401,0.11997406
24.21696529,35.23677629,3.80567166,,,,,,,,,,0.021912276,0.094375596,0.942169789,0.130350195
24.26895534,34.50891559,3.7432836,,,,,,,,,,0.037388502,0.1,0.944482998,0.118677043
24.29495037,33.13117926,4.46074629,,,,,,,,,,0.038115045,0.097998093,0.945639602,0.107003891
15.11350754,32.84627379,4.11761196,,,,,,,,,,0.019685627,0.096091516,0.537126995,0.125162127
11.58858215,32.76724891,4.257985095,,,,,,,,,,0.00905501,0.077740705,0.380291464,0.123216602
13.76696524,32.74125389,4.257985095,,,,,,,,,,0.017830191,0.061725453,0.477214897,0.130350195
11.89532344,20.09519413,4.0552239,,,,,,,,,,0.031571016,0.064299333,0.393939394,0.11997406
11.82253737,8.657383126,4.008432855,,,,,,,,,,0.481447098,0.062345091,0.390700902,0.115434501
21.46669164,9.814681639,4.039626885,,,,,,,,,,0.171872815,0.110819828,0.819801064,0.112840467
18.87238815,18.79440307,4.33597017,,,,,,,,,,0.064552777,0.093660629,0.704371964,0.107003891
22.63646777,30.06376631,3.914850765,,,,,,,,,,0.058267995,0.096901811,0.871848254,0.121271077
23.37472648,29.14146283,3.7432836,,,,,,,,,,0.081387717,0.109914204,0.904695813,0.112191958
23.23955235,30.3642688,3.634104495,,,,,,,,,,0.051256539,0.102478551,0.898681471,0.134889754
22.17895533,30.12927378,3.83686569,,,,,,,,,,0.038606884,0.091182078,0.851492019,0.116083009
21.97619413,30.40170164,3.540522405,,,,,,,,,,0.031444278,0.090324118,0.842470507,0.120622568
21.11315931,30.50568174,3.52492539,,,,,,,,,,0.05048722,0.093279314,0.804071247,0.116083009
20.68164189,30.3642688,3.540522405,,,,,,,,,,0.094339761,0.074022879,0.784871617,0.11997406
21.6226618,32.18288075,3.61850748,,,,,,,,,,0.379369748,0.070400381,0.826740689,0.137483787
